date,country_id,lat,lon,covid_confirmed,covid_deaths
2020-01-24,AL,41.1533,20.1683,0,0
2020-01-29,AL,41.1533,20.1683,0,0
2020-02-11,AL,41.1533,20.1683,0,0
2020-02-07,AL,41.1533,20.1683,0,0
2020-02-25,AL,41.1533,20.1683,0,0
2020-02-01,AL,41.1533,20.1683,0,0
2020-02-24,AL,41.1533,20.1683,0,0
2020-02-18,AL,41.1533,20.1683,0,0
2020-02-21,AL,41.1533,20.1683,0,0
2020-01-23,AL,41.1533,20.1683,0,0
2020-02-02,AL,41.1533,20.1683,0,0
2020-02-16,AL,41.1533,20.1683,0,0
2020-01-25,AL,41.1533,20.1683,0,0
2020-01-30,AL,41.1533,20.1683,0,0
2020-02-14,AL,41.1533,20.1683,0,0
2020-01-27,AL,41.1533,20.1683,0,0
2020-03-02,AL,41.1533,20.1683,0,0
2020-02-03,AL,41.1533,20.1683,0,0
2020-02-22,AL,41.1533,20.1683,0,0
2020-01-28,AL,41.1533,20.1683,0,0
2020-01-31,AL,41.1533,20.1683,0,0
2020-02-08,AL,41.1533,20.1683,0,0
2020-02-17,AL,41.1533,20.1683,0,0
2020-01-26,AL,41.1533,20.1683,0,0
2020-02-04,AL,41.1533,20.1683,0,0
2020-02-09,AL,41.1533,20.1683,0,0
2020-02-13,AL,41.1533,20.1683,0,0
2020-02-20,AL,41.1533,20.1683,0,0
2020-02-12,AL,41.1533,20.1683,0,0
2020-02-05,AL,41.1533,20.1683,0,0
2020-02-06,AL,41.1533,20.1683,0,0
2020-02-19,AL,41.1533,20.1683,0,0
2020-02-10,AL,41.1533,20.1683,0,0
2020-02-15,AL,41.1533,20.1683,0,0
2020-02-23,AL,41.1533,20.1683,0,0
2020-03-06,AL,41.1533,20.1683,0,0
2020-02-27,AL,41.1533,20.1683,0,0
2020-03-18,AL,41.1533,20.1683,59,2
2020-03-19,AL,41.1533,20.1683,64,2
2020-03-08,AL,41.1533,20.1683,0,0
2020-03-03,AL,41.1533,20.1683,0,0
2020-03-16,AL,41.1533,20.1683,51,1
2020-03-01,AL,41.1533,20.1683,0,0
2020-03-09,AL,41.1533,20.1683,2,0
2020-03-31,AL,41.1533,20.1683,243,15
2020-03-14,AL,41.1533,20.1683,38,1
2020-03-26,AL,41.1533,20.1683,174,6
2020-03-04,AL,41.1533,20.1683,0,0
2020-01-22,AL,41.1533,20.1683,0,0
2020-03-27,AL,41.1533,20.1683,186,8
2020-03-15,AL,41.1533,20.1683,42,1
2020-03-28,AL,41.1533,20.1683,197,10
2020-02-29,AL,41.1533,20.1683,0,0
2020-03-07,AL,41.1533,20.1683,0,0
2020-03-13,AL,41.1533,20.1683,33,1
2020-03-17,AL,41.1533,20.1683,55,1
2020-03-21,AL,41.1533,20.1683,76,2
2020-02-28,AL,41.1533,20.1683,0,0
2020-03-11,AL,41.1533,20.1683,12,1
2020-03-25,AL,41.1533,20.1683,146,5
2020-02-26,AL,41.1533,20.1683,0,0
2020-03-12,AL,41.1533,20.1683,23,1
2020-03-10,AL,41.1533,20.1683,10,0
2020-03-30,AL,41.1533,20.1683,223,11
2020-03-22,AL,41.1533,20.1683,89,2
2020-03-23,AL,41.1533,20.1683,104,4
2020-03-05,AL,41.1533,20.1683,0,0
2020-03-24,AL,41.1533,20.1683,123,5
2020-03-29,AL,41.1533,20.1683,212,10
2020-03-20,AL,41.1533,20.1683,70,2
2020-02-03,AT,47.5162,14.5501,0,0
2020-03-18,AT,47.5162,14.5501,1646,4
2020-03-13,AT,47.5162,14.5501,504,1
2020-02-01,AT,47.5162,14.5501,0,0
2020-01-22,AT,47.5162,14.5501,0,0
2020-03-28,AT,47.5162,14.5501,8271,68
2020-02-29,AT,47.5162,14.5501,9,0
2020-03-26,AT,47.5162,14.5501,6909,49
2020-02-17,AT,47.5162,14.5501,0,0
2020-02-06,AT,47.5162,14.5501,0,0
2020-02-19,AT,47.5162,14.5501,0,0
2020-02-26,AT,47.5162,14.5501,2,0
2020-01-28,AT,47.5162,14.5501,0,0
2020-02-12,AT,47.5162,14.5501,0,0
2020-03-22,AT,47.5162,14.5501,3582,16
2020-03-16,AT,47.5162,14.5501,1018,3
2020-02-25,AT,47.5162,14.5501,2,0
2020-03-02,AT,47.5162,14.5501,18,0
2020-02-14,AT,47.5162,14.5501,0,0
2020-03-21,AT,47.5162,14.5501,2814,8
2020-03-10,AT,47.5162,14.5501,182,0
2020-03-12,AT,47.5162,14.5501,302,1
2020-01-31,AT,47.5162,14.5501,0,0
2020-02-15,AT,47.5162,14.5501,0,0
2020-02-20,AT,47.5162,14.5501,0,0
2020-03-31,AT,47.5162,14.5501,10180,128
2020-03-14,AT,47.5162,14.5501,655,1
2020-03-05,AT,47.5162,14.5501,41,0
2020-03-06,AT,47.5162,14.5501,55,0
2020-01-23,AT,47.5162,14.5501,0,0
2020-03-24,AT,47.5162,14.5501,5283,28
2020-02-09,AT,47.5162,14.5501,0,0
2020-03-03,AT,47.5162,14.5501,21,0
2020-01-26,AT,47.5162,14.5501,0,0
2020-02-22,AT,47.5162,14.5501,0,0
2020-03-25,AT,47.5162,14.5501,5588,30
2020-02-23,AT,47.5162,14.5501,0,0
2020-03-20,AT,47.5162,14.5501,2388,6
2020-02-28,AT,47.5162,14.5501,3,0
2020-02-13,AT,47.5162,14.5501,0,0
2020-03-11,AT,47.5162,14.5501,246,0
2020-02-11,AT,47.5162,14.5501,0,0
