geo,age,sex,pop
AL,TOTAL,female,1432833 
AL,UNK,female,0 
AL,Y10-14,female,84549 
AL,Y15-19,female,102455 
AL,Y20-24,female,118460 
AL,Y25-29,female,116409 
AL,Y30-34,female,93256 
AL,Y35-39,female,83281 
AL,Y40-44,female,83208 
AL,Y45-49,female,92099 
AL,Y5-9,female,80038 
AL,Y50-54,female,98377 
AL,Y55-59,female,104758 
AL,Y60-64,female,91566 
AL,Y65-69,female,69607 
AL,Y70-74,female,52502 
AL,Y75-79,female,45948 
AL,Y80-84,female,27315 
AL,Y_GE75,female,86434 
AL,Y_GE80,female,40486 
AL,Y_GE85,female,13171 
AL,Y_LT5,female,75834 
AL,TOTAL,male,1429594 
AL,UNK,male,0 
AL,Y10-14,male,89801 
AL,Y15-19,male,104737 
AL,Y20-24,male,118522 
AL,Y25-29,male,120969 
AL,Y30-34,male,104446 
AL,Y35-39,male,85824 
AL,Y40-44,male,79173 
AL,Y45-49,male,85217 
AL,Y5-9,male,83414 
AL,Y50-54,male,93241 
AL,Y55-59,male,101895 
AL,Y60-64,male,87894 
AL,Y65-69,male,66443 
AL,Y70-74,male,50338 
AL,Y75-79,male,41965 
AL,Y80-84,male,24909 
AL,Y_GE75,male,77892 
AL,Y_GE80,male,35927 
AL,Y_GE85,male,11018 
AL,Y_LT5,male,79788 
AL,TOTAL,total,2862427 
AL,UNK,total,0 
AL,Y10-14,total,174350 
AL,Y15-19,total,207192 
AL,Y20-24,total,236982 
AL,Y25-29,total,237378 
AL,Y30-34,total,197702 
AL,Y35-39,total,169105 
AL,Y40-44,total,162381 
AL,Y45-49,total,177316 
AL,Y5-9,total,163452 
AL,Y50-54,total,191618 
AL,Y55-59,total,206653 
AL,Y60-64,total,179460 
AL,Y65-69,total,136050 
AL,Y70-74,total,102840 
AL,Y75-79,total,87913 
AL,Y80-84,total,52224 
AL,Y_GE75,total,164326 
AL,Y_GE80,total,76413 
AL,Y_GE85,total,24189 
AL,Y_LT5,total,155622 
AT,TOTAL,female,4501742 
AT,UNK,female,0 
AT,Y10-14,female,206133 
AT,Y15-19,female,212135 
AT,Y20-24,female,257454 
AT,Y25-29,female,294888 
AT,Y30-34,female,296545 
AT,Y35-39,female,297410 
AT,Y40-44,female,283391 
AT,Y45-49,female,323491 
AT,Y5-9,female,203926 
AT,Y50-54,female,355963 
AT,Y55-59,female,334314 
AT,Y60-64,female,279301 
AT,Y65-69,female,235023 
AT,Y70-74,female,210049 
AT,Y75-79,female,219873 
AT,Y80-84,female,128029 
AT,Y_GE75,female,500658 
AT,Y_GE80,female,280785 
AT,Y_GE85,female,152756 
AT,Y_LT5,female,211061 
AT,TOTAL,male,4357033 
AT,UNK,male,0 
AT,Y10-14,male,217140 
AT,Y15-19,male,226869 
AT,Y20-24,male,273309 
AT,Y25-29,male,308820 
AT,Y30-34,male,306621 
AT,Y35-39,male,302548 
AT,Y40-44,male,283265 
AT,Y45-49,male,319069 
AT,Y5-9,male,216360 
AT,Y50-54,male,359620 
AT,Y55-59,male,332571 
AT,Y60-64,male,263940 
AT,Y65-69,male,211022 
AT,Y70-74,male,177376 
AT,Y75-79,male,172699 
AT,Y80-84,male,88550 
AT,Y_GE75,male,334431 
AT,Y_GE80,male,161732 
AT,Y_GE85,male,73182 
AT,Y_LT5,male,224072 
AT,TOTAL,total,8858775 
AT,UNK,total,0 
AT,Y10-14,total,423273 
AT,Y15-19,total,439004 
AT,Y20-24,total,530763 
AT,Y25-29,total,603708 
AT,Y30-34,total,603166 
AT,Y35-39,total,599958 
AT,Y40-44,total,566656 
AT,Y45-49,total,642560 
AT,Y5-9,total,420286 
AT,Y50-54,total,715583 
AT,Y55-59,total,666885 
AT,Y60-64,total,543241 
AT,Y65-69,total,446045 
AT,Y70-74,total,387425 
AT,Y75-79,total,392572 
AT,Y80-84,total,216579 
AT,Y_GE75,total,835089 
AT,Y_GE80,total,442517 
AT,Y_GE85,total,225938 
AT,Y_LT5,total,435133 
BE,TOTAL,female,5810693 
BE,UNK,female,0 
BE,Y10-14,female,320521 
BE,Y15-19,female,307712 
BE,Y20-24,female,328722 
BE,Y25-29,female,371623 
BE,Y30-34,female,368614 
BE,Y35-39,female,374627 
BE,Y40-44,female,362807 
BE,Y45-49,female,384045 
BE,Y5-9,female,325662 
BE,Y50-54,female,396620 
BE,Y55-59,female,395473 
BE,Y60-64,female,360409 
BE,Y65-69,female,317045 
BE,Y70-74,female,281596 
BE,Y75-79,female,206039 
BE,Y80-84,female,188231 
BE,Y_GE75,female,614218 
BE,Y_GE80,female,408179 
BE,Y_GE85,female,219948 
BE,Y_LT5,female,300999 
BE,TOTAL,male,5644826 
BE,UNK,male,0 
BE,Y10-14,male,336284 
BE,Y15-19,male,323790 
BE,Y20-24,male,341598 
BE,Y25-29,male,374924 
BE,Y30-34,male,368166 
BE,Y35-39,male,377157 
BE,Y40-44,male,368567 
BE,Y45-49,male,393483 
BE,Y5-9,male,340923 
BE,Y50-54,male,406309 
BE,Y55-59,male,395854 
BE,Y60-64,male,349994 
BE,Y65-69,male,298587 
BE,Y70-74,male,249942 
BE,Y75-79,male,165281 
BE,Y80-84,male,131154 
BE,Y_GE75,male,404071 
BE,Y_GE80,male,238790 
BE,Y_GE85,male,107636 
BE,Y_LT5,male,315177 
BE,TOTAL,total,11455519 
BE,UNK,total,0 
BE,Y10-14,total,656805 
BE,Y15-19,total,631502 
BE,Y20-24,total,670320 
BE,Y25-29,total,746547 
BE,Y30-34,total,736780 
BE,Y35-39,total,751784 
BE,Y40-44,total,731374 
BE,Y45-49,total,777528 
BE,Y5-9,total,666585 
BE,Y50-54,total,802929 
BE,Y55-59,total,791327 
