geo,age,sex,pop
BE,Y60-64,total,710403 
BE,Y65-69,total,615632 
BE,Y70-74,total,531538 
BE,Y75-79,total,371320 
BE,Y80-84,total,319385 
BE,Y_GE75,total,1018289 
BE,Y_GE80,total,646969 
BE,Y_GE85,total,327584 
BE,Y_LT5,total,616176 
BG,TOTAL,female,3604338 
BG,UNK,female,0 
BG,Y10-14,female,162313 
BG,Y15-19,female,153256 
BG,Y20-24,female,149153 
BG,Y25-29,female,203810 
BG,Y30-34,female,232109 
BG,Y35-39,female,235844 
BG,Y40-44,female,264556 
BG,Y45-49,female,252682 
BG,Y5-9,female,167766 
BG,Y50-54,female,232988 
BG,Y55-59,female,243016 
BG,Y60-64,female,255592 
BG,Y65-69,female,264579 
BG,Y70-74,female,235772 
BG,Y75-79,female,171909 
BG,Y80-84,female,127358 
BG,Y_GE75,female,392724 
BG,Y_GE80,female,220815 
BG,Y_GE85,female,93457 
BG,Y_LT5,female,158178 
BG,TOTAL,male,3395701 
BG,UNK,male,0 
BG,Y10-14,male,172140 
BG,Y15-19,male,162291 
BG,Y20-24,male,158591 
BG,Y25-29,male,215814 
BG,Y30-34,male,247397 
BG,Y35-39,male,254064 
BG,Y40-44,male,279842 
BG,Y45-49,male,265640 
BG,Y5-9,male,176901 
BG,Y50-54,male,236143 
BG,Y55-59,male,234382 
BG,Y60-64,male,224905 
BG,Y65-69,male,209008 
BG,Y70-74,male,165752 
BG,Y75-79,male,107489 
BG,Y80-84,male,70638 
BG,Y_GE75,male,225284 
BG,Y_GE80,male,117795 
BG,Y_GE85,male,47157 
BG,Y_LT5,male,167547 
BG,TOTAL,total,7000039 
BG,UNK,total,0 
BG,Y10-14,total,334453 
BG,Y15-19,total,315547 
BG,Y20-24,total,307744 
BG,Y25-29,total,419624 
BG,Y30-34,total,479506 
BG,Y35-39,total,489908 
BG,Y40-44,total,544398 
BG,Y45-49,total,518322 
BG,Y5-9,total,344667 
BG,Y50-54,total,469131 
BG,Y55-59,total,477398 
BG,Y60-64,total,480497 
BG,Y65-69,total,473587 
BG,Y70-74,total,401524 
BG,Y75-79,total,279398 
BG,Y80-84,total,197996 
BG,Y_GE75,total,618008 
BG,Y_GE80,total,338610 
BG,Y_GE85,total,140614 
BG,Y_LT5,total,325725 
CH,TOTAL,female,4307406 
CH,UNK,female,0 
CH,Y10-14,female,202067 
CH,Y15-19,female,205936 
CH,Y20-24,female,234345 
CH,Y25-29,female,280334 
CH,Y30-34,female,300338 
CH,Y35-39,female,301305 
CH,Y40-44,female,290066 
CH,Y45-49,female,308700 
CH,Y5-9,female,209297 
CH,Y50-54,female,332252 
CH,Y55-59,female,303032 
CH,Y60-64,female,252356 
CH,Y65-69,female,221435 
CH,Y70-74,female,209268 
CH,Y75-79,female,168111 
CH,Y80-84,female,128022 
CH,Y_GE75,female,443547 
CH,Y_GE80,female,275436 
CH,Y_GE85,female,147414 
CH,Y_LT5,female,213128 
CH,TOTAL,male,4237121 
CH,UNK,male,0 
CH,Y10-14,male,213495 
CH,Y15-19,male,219776 
CH,Y20-24,male,249100 
CH,Y25-29,male,288954 
CH,Y30-34,male,306152 
CH,Y35-39,male,307401 
CH,Y40-44,male,293717 
CH,Y45-49,male,311949 
CH,Y5-9,male,221007 
CH,Y50-54,male,338894 
CH,Y55-59,male,307700 
CH,Y60-64,male,251173 
CH,Y65-69,male,206561 
CH,Y70-74,male,188848 
CH,Y75-79,male,139426 
CH,Y80-84,male,92810 
CH,Y_GE75,male,307642 
CH,Y_GE80,male,168216 
CH,Y_GE85,male,75406 
CH,Y_LT5,male,224752 
CH,TOTAL,total,8544527 
CH,UNK,total,0 
CH,Y10-14,total,415562 
CH,Y15-19,total,425712 
CH,Y20-24,total,483445 
CH,Y25-29,total,569288 
CH,Y30-34,total,606490 
CH,Y35-39,total,608706 
CH,Y40-44,total,583783 
CH,Y45-49,total,620649 
CH,Y5-9,total,430304 
CH,Y50-54,total,671146 
CH,Y55-59,total,610732 
CH,Y60-64,total,503529 
CH,Y65-69,total,427996 
CH,Y70-74,total,398116 
CH,Y75-79,total,307537 
CH,Y80-84,total,220832 
CH,Y_GE75,total,751189 
CH,Y_GE80,total,443652 
CH,Y_GE85,total,222820 
CH,Y_LT5,total,437880 
CY,TOTAL,female,448068 
CY,UNK,female,0 
CY,Y10-14,female,22270 
CY,Y15-19,female,24427 
CY,Y20-24,female,33277 
CY,Y25-29,female,38048 
CY,Y30-34,female,37254 
CY,Y35-39,female,33972 
CY,Y40-44,female,28918 
CY,Y45-49,female,27729 
CY,Y5-9,female,24138 
CY,Y50-54,female,27257 
CY,Y55-59,female,27588 
CY,Y60-64,female,24520 
CY,Y65-69,female,23227 
CY,Y70-74,female,19422 
CY,Y75-79,female,14742 
CY,Y80-84,female,10412 
CY,Y_GE75,female,33407 
CY,Y_GE80,female,18665 
CY,Y_GE85,female,8253 
CY,Y_LT5,female,22614 
CY,TOTAL,male,427831 
CY,UNK,male,0 
CY,Y10-14,male,23200 
CY,Y15-19,male,24429 
CY,Y20-24,male,30018 
CY,Y25-29,male,36530 
CY,Y30-34,male,35955 
CY,Y35-39,male,32678 
CY,Y40-44,male,27240 
CY,Y45-49,male,26325 
CY,Y5-9,male,24966 
CY,Y50-54,male,26614 
CY,Y55-59,male,26958 
CY,Y60-64,male,23846 
CY,Y65-69,male,21966 
CY,Y70-74,male,17152 
CY,Y75-79,male,12590 
CY,Y80-84,male,7999 
CY,Y_GE75,male,25938 
CY,Y_GE80,male,13348 
CY,Y_GE85,male,5349 
CY,Y_LT5,male,24016 
CY,TOTAL,total,875899 
CY,UNK,total,0 
CY,Y10-14,total,45470 
CY,Y15-19,total,48856 
CY,Y20-24,total,63295 
CY,Y25-29,total,74578 
CY,Y30-34,total,73209 
CY,Y35-39,total,66650 
CY,Y40-44,total,56158 
CY,Y45-49,total,54054 
CY,Y5-9,total,49104 
CY,Y50-54,total,53871 
CY,Y55-59,total,54546 
CY,Y60-64,total,48366 
CY,Y65-69,total,45193 
CY,Y70-74,total,36574 
CY,Y75-79,total,27332 
CY,Y80-84,total,18411 
CY,Y_GE75,total,59345 
CY,Y_GE80,total,32013 
CY,Y_GE85,total,13602 
CY,Y_LT5,total,46630 
CZ,TOTAL,female,5405606 
CZ,UNK,female,0 
CZ,Y10-14,female,269794 
CZ,Y15-19,female,227173 
CZ,Y20-24,female,242645 
CZ,Y25-29,female,325537 
CZ,Y30-34,female,351422 
CZ,Y35-39,female,380714 
CZ,Y40-44,female,456041 
CZ,Y45-49,female,382802 
CZ,Y5-9,female,279079 
CZ,Y50-54,female,339749 
CZ,Y55-59,female,313641 
CZ,Y60-64,female,350778 
CZ,Y65-69,female,364441 
CZ,Y70-74,female,330966 
CZ,Y75-79,female,226982 
CZ,Y80-84,female,145219 
CZ,Y_GE75,female,514347 
CZ,Y_GE80,female,287365 
CZ,Y_GE85,female,142146 
CZ,Y_LT5,female,276477 
CZ,TOTAL,male,5244194 
CZ,UNK,male,0 
CZ,Y10-14,male,284120 
CZ,Y15-19,male,240218 
CZ,Y20-24,male,255372 
CZ,Y25-29,male,343440 
CZ,Y30-34,male,373769 
CZ,Y35-39,male,406261 
CZ,Y40-44,male,481362 
CZ,Y45-49,male,404233 
CZ,Y5-9,male,292895 
CZ,Y50-54,male,352218 
CZ,Y55-59,male,314566 
CZ,Y60-64,male,328182 
CZ,Y65-69,male,315501 
CZ,Y70-74,male,258907 
CZ,Y75-79,male,156913 
CZ,Y80-84,male,83949 
CZ,Y_GE75,male,302455 
CZ,Y_GE80,male,145542 
CZ,Y_GE85,male,61593 
CZ,Y_LT5,male,290695 
CZ,TOTAL,total,10649800 
CZ,UNK,total,0 
CZ,Y10-14,total,553914 
CZ,Y15-19,total,467391 
CZ,Y20-24,total,498017 
CZ,Y25-29,total,668977 
CZ,Y30-34,total,725191 
CZ,Y35-39,total,786975 
CZ,Y40-44,total,937403 
CZ,Y45-49,total,787035 
CZ,Y5-9,total,571974 
CZ,Y50-54,total,691967 
CZ,Y55-59,total,628207 
CZ,Y60-64,total,678960 
CZ,Y65-69,total,679942 
CZ,Y70-74,total,589873 
CZ,Y75-79,total,383895 
CZ,Y80-84,total,229168 
CZ,Y_GE75,total,816802 
CZ,Y_GE80,total,432907 
CZ,Y_GE85,total,203739 
CZ,Y_LT5,total,567172 
DE,TOTAL,female,42052522 
DE,UNK,female,0 
DE,Y10-14,female,1797750 
DE,Y15-19,female,1920778 
DE,Y20-24,female,2192260 
DE,Y25-29,female,2497399 
DE,Y30-34,female,2624948 
DE,Y35-39,female,2584099 
DE,Y40-44,female,2402780 
DE,Y45-49,female,2772302 
DE,Y5-9,female,1780063 
DE,Y50-54,female,3405726 
DE,Y55-59,female,3300544 
DE,Y60-64,female,2798189 
DE,Y65-69,female,2516863 
DE,Y70-74,female,1916659 
DE,Y75-79,female,2265773 
DE,Y80-84,female,1824473 
DE,Y_GE75,female,5629862 
DE,Y_GE80,female,3364089 
DE,Y_GE85,female,1539616 
DE,Y_LT5,female,1912300 
DE,TOTAL,male,40966691 
DE,UNK,male,0 
DE,Y10-14,male,1904430 
DE,Y15-19,male,2082699 
DE,Y20-24,male,2415012 
DE,Y25-29,male,2695936 
DE,Y30-34,male,2784081 
DE,Y35-39,male,2653317 
DE,Y40-44,male,2438958 
DE,Y45-49,male,2812217 
DE,Y5-9,male,1882175 
DE,Y50-54,male,3470222 
DE,Y55-59,male,3297674 
DE,Y60-64,male,2695725 
DE,Y65-69,male,2291634 
DE,Y70-74,male,1679886 
DE,Y75-79,male,1823611 
DE,Y80-84,male,1287124 
DE,Y_GE75,male,3848628 
DE,Y_GE80,male,2025017 
DE,Y_GE85,male,737893 
DE,Y_LT5,male,2014097 
DE,TOTAL,total,83019213 
DE,UNK,total,0 
DE,Y10-14,total,3702180 
DE,Y15-19,total,4003477 
DE,Y20-24,total,4607272 
DE,Y25-29,total,5193335 
DE,Y30-34,total,5409029 
DE,Y35-39,total,5237416 
DE,Y40-44,total,4841738 
DE,Y45-49,total,5584519 
DE,Y5-9,total,3662238 
DE,Y50-54,total,6875948 
DE,Y55-59,total,6598218 
DE,Y60-64,total,5493914 
DE,Y65-69,total,4808497 
DE,Y70-74,total,3596545 
DE,Y75-79,total,4089384 
DE,Y80-84,total,3111597 
DE,Y_GE75,total,9478490 
DE,Y_GE80,total,5389106 
DE,Y_GE85,total,2277509 
DE,Y_LT5,total,3926397 
DK,TOTAL,female,2917008 
DK,UNK,female,0 
DK,Y10-14,female,165351 
DK,Y15-19,female,168141 
DK,Y20-24,female,190343 
DK,Y25-29,female,193458 
DK,Y30-34,female,170428 
DK,Y35-39,female,164829 
DK,Y40-44,female,185852 
DK,Y45-49,female,194245 
DK,Y5-9,female,152740 
DK,Y50-54,female,208488 
DK,Y55-59,female,188323 
DK,Y60-64,female,172998 
DK,Y65-69,female,163988 
DK,Y70-74,female,169738 
DK,Y75-79,female,119891 
DK,Y80-84,female,80382 
DK,Y_GE75,female,279817 
DK,Y_GE80,female,159926 
DK,Y_GE85,female,79544 
DK,Y_LT5,female,148269 
DK,TOTAL,male,2889073 
DK,UNK,male,0 
DK,Y10-14,male,173903 
DK,Y15-19,male,176274 
DK,Y20-24,male,198647 
DK,Y25-29,male,201431 
DK,Y30-34,male,177846 
DK,Y35-39,male,168058 
DK,Y40-44,male,186713 
DK,Y45-49,male,195838 
DK,Y5-9,male,160513 
DK,Y50-54,male,212293 
DK,Y55-59,male,188671 
DK,Y60-64,male,169672 
DK,Y65-69,male,156271 
DK,Y70-74,male,158527 
DK,Y75-79,male,103902 
DK,Y80-84,male,61706 
DK,Y_GE75,male,207722 
DK,Y_GE80,male,103820 
DK,Y_GE85,male,42114 
DK,Y_LT5,male,156694 
DK,TOTAL,total,5806081 
DK,UNK,total,0 
DK,Y10-14,total,339254 
DK,Y15-19,total,344415 
DK,Y20-24,total,388990 
DK,Y25-29,total,394889 
DK,Y30-34,total,348274 
DK,Y35-39,total,332887 
DK,Y40-44,total,372565 
DK,Y45-49,total,390083 
DK,Y5-9,total,313253 
DK,Y50-54,total,420781 
DK,Y55-59,total,376994 
DK,Y60-64,total,342670 
DK,Y65-69,total,320259 
DK,Y70-74,total,328265 
DK,Y75-79,total,223793 
DK,Y80-84,total,142088 
DK,Y_GE75,total,487539 
DK,Y_GE80,total,263746 
DK,Y_GE85,total,121658 
DK,Y_LT5,total,304963 
EE,TOTAL,female,699185 
EE,UNK,female,0 
EE,Y10-14,female,35154 
EE,Y15-19,female,29883 
EE,Y20-24,female,31643 
EE,Y25-29,female,41925 
EE,Y30-34,female,47437 
EE,Y35-39,female,44816 
EE,Y40-44,female,44218 
EE,Y45-49,female,45292 
EE,Y5-9,female,36221 
EE,Y50-54,female,42517 
EE,Y55-59,female,46886 
EE,Y60-64,female,47297 
EE,Y65-69,female,45503 
EE,Y70-74,female,36137 
EE,Y75-79,female,34427 
EE,Y80-84,female,29027 
EE,Y_GE75,female,90027 
EE,Y_GE80,female,55600 
EE,Y_GE85,female,26573 
EE,Y_LT5,female,34229 
EE,TOTAL,male,625635 
EE,UNK,male,0 
EE,Y10-14,male,37358 
EE,Y15-19,male,31344 
EE,Y20-24,male,33049 
EE,Y25-29,male,46208 
EE,Y30-34,male,52137 
EE,Y35-39,male,48129 
EE,Y40-44,male,46483 
EE,Y45-49,male,46055 
EE,Y5-9,male,37955 
EE,Y50-54,male,40588 
EE,Y55-59,male,41833 
EE,Y60-64,male,37809 
EE,Y65-69,male,31841 
EE,Y70-74,male,21967 
EE,Y75-79,male,17256 
EE,Y80-84,male,11517 
EE,Y_GE75,male,36373 
EE,Y_GE80,male,19117 
EE,Y_GE85,male,7600 
EE,Y_LT5,male,36506 
EE,TOTAL,total,1324820 
EE,UNK,total,0 
EE,Y10-14,total,72512 
EE,Y15-19,total,61227 
EE,Y20-24,total,64692 
EE,Y25-29,total,88133 
EE,Y30-34,total,99574 
EE,Y35-39,total,92945 
EE,Y40-44,total,90701 
EE,Y45-49,total,91347 
EE,Y5-9,total,74176 
EE,Y50-54,total,83105 
EE,Y55-59,total,88719 
EE,Y60-64,total,85106 
EE,Y65-69,total,77344 
EE,Y70-74,total,58104 
EE,Y75-79,total,51683 
EE,Y80-84,total,40544 
EE,Y_GE75,total,126400 
EE,Y_GE80,total,74717 
EE,Y_GE85,total,34173 
EE,Y_LT5,total,70735 
EL,TOTAL,female,5516306 
EL,UNK,female,0 
EL,Y10-14,female,263429 
EL,Y15-19,female,262687 
EL,Y20-24,female,265850 
EL,Y25-29,female,279643 
EL,Y30-34,female,305389 
EL,Y35-39,female,382507 
EL,Y40-44,female,404656 
EL,Y45-49,female,412102 
EL,Y5-9,female,256980 
EL,Y50-54,female,405972 
EL,Y55-59,female,380563 
EL,Y60-64,female,355526 
EL,Y65-69,female,321158 
EL,Y70-74,female,301680 
EL,Y75-79,female,243441 
EL,Y80-84,female,230859 
EL,Y_GE75,female,691220 
EL,Y_GE80,female,447779 
EL,Y_GE85,female,216920 
EL,Y_LT5,female,226944 
EL,TOTAL,male,5208293 
EL,UNK,male,0 
EL,Y10-14,male,278937 
EL,Y15-19,male,283450 
EL,Y20-24,male,286472 
EL,Y25-29,male,289329 
EL,Y30-34,male,304326 
EL,Y35-39,male,383663 
EL,Y40-44,male,397530 
EL,Y45-49,male,393951 
EL,Y5-9,male,271053 
EL,Y50-54,male,376235 
EL,Y55-59,male,338020 
EL,Y60-64,male,316380 
EL,Y65-69,male,285694 
EL,Y70-74,male,255713 
EL,Y75-79,male,195153 
EL,Y80-84,male,163766 
EL,Y_GE75,male,507808 
EL,Y_GE80,male,312655 
EL,Y_GE85,male,148889 
EL,Y_LT5,male,239732 
EL,TOTAL,total,10724599 
EL,UNK,total,0 
EL,Y10-14,total,542366 
EL,Y15-19,total,546137 
EL,Y20-24,total,552322 
EL,Y25-29,total,568972 
EL,Y30-34,total,609715 
EL,Y35-39,total,766170 
EL,Y40-44,total,802186 
EL,Y45-49,total,806053 
EL,Y5-9,total,528033 
EL,Y50-54,total,782207 
EL,Y55-59,total,718583 
EL,Y60-64,total,671906 
EL,Y65-69,total,606852 
EL,Y70-74,total,557393 
EL,Y75-79,total,438594 
EL,Y80-84,total,394625 
EL,Y_GE75,total,1199028 
EL,Y_GE80,total,760434 
EL,Y_GE85,total,365809 
EL,Y_LT5,total,466676 
ES,TOTAL,female,23927801 
ES,UNK,female,0 
ES,Y10-14,female,1213307 
ES,Y15-19,female,1129408 
ES,Y20-24,female,1118918 
ES,Y25-29,female,1251284 
ES,Y30-34,female,1406272 
ES,Y35-39,female,1719670 
ES,Y40-44,female,1969997 
ES,Y45-49,female,1887525 
ES,Y5-9,female,1141416 
ES,Y50-54,female,1824748 
ES,Y55-59,female,1661555 
ES,Y60-64,female,1445592 
ES,Y65-69,female,1258299 
ES,Y70-74,female,1176044 
ES,Y75-79,female,908113 
ES,Y80-84,female,810038 
ES,Y_GE75,female,2720492 
ES,Y_GE80,female,1812379 
ES,Y_GE85,female,1002341 
ES,Y_LT5,female,1003274 
ES,TOTAL,male,23009259 
ES,UNK,male,0 
ES,Y10-14,male,1292421 
ES,Y15-19,male,1202753 
ES,Y20-24,male,1169404 
ES,Y25-29,male,1273836 
ES,Y30-34,male,1395386 
ES,Y35-39,male,1716735 
ES,Y40-44,male,2014584 
ES,Y45-49,male,1924615 
ES,Y5-9,male,1215470 
ES,Y50-54,male,1815339 
ES,Y55-59,male,1611961 
ES,Y60-64,male,1361786 
ES,Y65-69,male,1147954 
ES,Y70-74,male,1011942 
ES,Y75-79,male,722339 
ES,Y80-84,male,553031 
ES,Y_GE75,male,1790844 
ES,Y_GE80,male,1068505 
ES,Y_GE85,male,515474 
ES,Y_LT5,male,1064229 
ES,TOTAL,total,46937060 
ES,UNK,total,0 
ES,Y10-14,total,2505728 
ES,Y15-19,total,2332161 
ES,Y20-24,total,2288322 
ES,Y25-29,total,2525120 
ES,Y30-34,total,2801658 
ES,Y35-39,total,3436405 
ES,Y40-44,total,3984581 
ES,Y45-49,total,3812140 
ES,Y5-9,total,2356886 
ES,Y50-54,total,3640087 
ES,Y55-59,total,3273516 
ES,Y60-64,total,2807378 
ES,Y65-69,total,2406253 
ES,Y70-74,total,2187986 
ES,Y75-79,total,1630452 
ES,Y80-84,total,1363069 
ES,Y_GE75,total,4511336 
ES,Y_GE80,total,2880884 
ES,Y_GE85,total,1517815 
ES,Y_LT5,total,2067503 
FI,TOTAL,female,2794629 
FI,UNK,female,0 
FI,Y10-14,female,149356 
FI,Y15-19,female,144041 
FI,Y20-24,female,155877 
FI,Y25-29,female,172237 
FI,Y30-34,female,169564 
FI,Y35-39,female,172424 
FI,Y40-44,female,166596 
FI,Y45-49,female,155005 
FI,Y5-9,female,151005 
FI,Y50-54,female,181247 
FI,Y55-59,female,185077 
FI,Y60-64,female,185506 
FI,Y65-69,female,187930 
FI,Y70-74,female,176154 
FI,Y75-79,female,117326 
FI,Y80-84,female,92842 
FI,Y_GE75,female,311981 
FI,Y_GE80,female,194655 
FI,Y_GE85,female,101813 
FI,Y_LT5,female,130629 
FI,TOTAL,male,2723290 
FI,UNK,male,0 
FI,Y10-14,male,156182 
FI,Y15-19,male,152126 
FI,Y20-24,male,164499 
FI,Y25-29,male,182635 
FI,Y30-34,male,180832 
FI,Y35-39,male,183327 
FI,Y40-44,male,175769 
FI,Y45-49,male,160573 
FI,Y5-9,male,158005 
FI,Y50-54,male,183302 
FI,Y55-59,male,183156 
FI,Y60-64,male,177055 
FI,Y65-69,male,174278 
FI,Y70-74,male,154506 
FI,Y75-79,male,91933 
FI,Y80-84,male,62247 
FI,Y_GE75,male,199988 
FI,Y_GE80,male,108055 
FI,Y_GE85,male,45808 
FI,Y_LT5,male,137057 
FI,TOTAL,total,5517919 
FI,UNK,total,0 
FI,Y10-14,total,305538 
FI,Y15-19,total,296167 
FI,Y20-24,total,320376 
FI,Y25-29,total,354872 
FI,Y30-34,total,350396 
FI,Y35-39,total,355751 
FI,Y40-44,total,342365 
FI,Y45-49,total,315578 
FI,Y5-9,total,309010 
FI,Y50-54,total,364549 
FI,Y55-59,total,368233 
FI,Y60-64,total,362561 
FI,Y65-69,total,362208 
FI,Y70-74,total,330660 
FI,Y75-79,total,209259 
FI,Y80-84,total,155089 
FI,Y_GE75,total,511969 
FI,Y_GE80,total,302710 
FI,Y_GE85,total,147621 
FI,Y_LT5,total,267686 
FR,TOTAL,female,34626376 
FR,UNK,female,0 
FR,Y10-14,female,2044716 
FR,Y15-19,female,2013105 
FR,Y20-24,female,1847479 
FR,Y25-29,female,1919039 
FR,Y30-34,female,2090095 
FR,Y35-39,female,2170870 
FR,Y40-44,female,2081950 
FR,Y45-49,female,2301082 
FR,Y5-9,female,2015946 
FR,Y50-54,female,2270654 
FR,Y55-59,female,2225521 
FR,Y60-64,female,2136830 
FR,Y65-69,female,2069050 
FR,Y70-74,female,1751908 
FR,Y75-79,female,1212426 
FR,Y80-84,female,1114754 
FR,Y_GE75,female,3854706 
FR,Y_GE80,female,2642280 
FR,Y_GE85,female,1527526 
FR,Y_LT5,female,1833425 
FR,TOTAL,male,32386507 
FR,UNK,male,0 
FR,Y10-14,male,2138896 
FR,Y15-19,male,2123150 
FR,Y20-24,male,1888654 
FR,Y25-29,male,1871277 
FR,Y30-34,male,1972390 
FR,Y35-39,male,2065290 
FR,Y40-44,male,2025829 
FR,Y45-49,male,2254674 
FR,Y5-9,male,2106605 
FR,Y50-54,male,2189811 
FR,Y55-59,male,2102284 
FR,Y60-64,male,1944956 
FR,Y65-69,male,1848395 
FR,Y70-74,male,1514787 
FR,Y75-79,male,966842 
FR,Y80-84,male,759397 
FR,Y_GE75,male,2431227 
FR,Y_GE80,male,1464385 
FR,Y_GE85,male,704988 
FR,Y_LT5,male,1908282 
FR,TOTAL,total,67012883 
FR,UNK,total,0 
FR,Y10-14,total,4183612 
FR,Y15-19,total,4136255 
FR,Y20-24,total,3736133 
FR,Y25-29,total,3790316 
FR,Y30-34,total,4062485 
FR,Y35-39,total,4236160 
FR,Y40-44,total,4107779 
